monthofyear,year,tractce10,total,econ_crime,violent_crime,drug_crime
3,2005,540102,12,10,2,6
4,2005,540102,15,12,3,3
5,2005,540102,18,15,3,5
6,2005,540102,20,15,5,6
7,2005,540102,18,17,1,6
8,2005,540102,20,17,3,3
9,2005,540102,12,10,2,7
10,2005,540102,14,11,3,5
11,2005,540102,19,16,3,2
12,2005,540102,20,18,2,12
1,2006,540102,17,15,2,2
2,2006,540102,13,11,2,2
3,2006,540102,17,11,6,6
4,2006,540102,12,8,4,4
5,2006,540102,9,7,2,1
6,2006,540102,20,15,5,3
7,2006,540102,12,10,2,9
8,2006,540102,16,11,5,7
9,2006,540102,18,17,1,4
10,2006,540102,18,15,3,6
11,2006,540102,12,10,2,20
12,2006,540102,16,14,2,5
1,2007,540102,8,7,1,21
2,2007,540102,5,5,0,9
3,2007,540102,8,7,1,4
4,2007,540102,16,11,5,6
5,2007,540102,18,12,6,7
6,2007,540102,21,16,5,2
7,2007,540102,18,14,4,4
8,2007,540102,20,16,4,4
9,2007,540102,12,6,6,7
10,2007,540102,8,6,2,1
11,2007,540102,23,19,4,1
12,2007,540102,14,13,1,4
1,2008,540102,23,15,8,6
2,2008,540102,10,7,3,6
3,2008,540102,11,8,3,6
4,2008,540102,18,13,5,15
5,2008,540102,12,7,5,6
6,2008,540102,14,9,5,9
7,2008,540102,9,0,9,8
8,2008,540102,22,17,5,4
9,2008,540102,24,19,5,3
10,2008,540102,12,9,3,4
11,2008,540102,15,11,4,6
12,2008,540102,9,6,3,18
1,2009,540102,11,6,5,5
2,2009,540102,10,8,2,7
3,2009,540102,11,6,5,8
4,2009,540102,13,9,4,3
5,2009,540102,17,10,7,6
6,2009,540102,28,18,10,0
7,2009,540102,16,11,5,0
8,2009,540102,25,18,7,5
9,2009,540102,14,10,4,4
10,2009,540102,16,12,4,7
11,2009,540102,18,15,3,3
12,2009,540102,17,14,3,6
1,2010,540102,12,9,3,6
2,2010,540102,4,3,1,10
3,2010,540102,14,13,1,3
4,2010,540102,18,13,5,1
5,2010,540102,12,10,2,2
6,2010,540102,19,14,5,4
7,2010,540102,20,17,3,5
8,2010,540102,25,19,6,2
9,2010,540102,10,8,2,5
10,2010,540102,12,9,3,6
11,2010,540102,12,10,2,4
12,2010,540102,16,8,8,8
1,2011,540102,19,16,3,4
2,2011,540102,7,5,2,1
1,1999,530503,23,17,6,1
2,1999,530503,23,20,3,2
3,1999,530503,23,22,1,8
4,1999,530503,38,27,11,1
5,1999,530503,26,19,7,6
6,1999,530503,24,17,7,5
7,1999,530503,34,31,3,4
